Type, Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Poste,21030,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.105,0.0922,8.10E-3,0,4.61E-3,,,,,,,,,,,0,-0.0232
,Poste,21030,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, colis",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.04,0.04,0,0,0,,,,,,,,,,,0,0
,Elément,21031,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,2.11,2.04,0.0318,0,0.03,,,,,,,,,,,0,0
,Poste,21031,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,1.55,1.54,6.93E-4,0,0.0123,,,,,,,,,,,0,0.0893
,Poste,21031,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.404,0.355,0.0311,0,0.0177,,,,,,,,,,,0,-0.0893
,Poste,21031,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/tonne.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.154,0.154,0,0,0,,,,,,,,,,,0,0
,Elément,21032,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.547,0.531,8.28E-3,0,7.82E-3,,,,,,,,,,,0,0
,Poste,21032,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole,0.403,0.399,1.80E-4,0,3.21E-3,,,,,,,,,,,0,0.0232
,Poste,21032,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole,0.105,0.0922,8.10E-3,0,4.61E-3,,,,,,,,,,,0,-0.0232
,Poste,21032,élément décomposé par poste et par gaz,Valide générique,Véhicule Utilitaire Léger,"express, ramasse distribution, pli/course",,Transport de marchandises > Routier > Express,"fret routier, poids lourd, PL, VUL, véhicule utilitaire léger, express",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,véhicule,0.04,0.04,0,0,0,,,,,,,,,,,0,0
