Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Electricité > Mix réseau électrique > Autres pays du monde,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Poste,élément décomposé par poste et par gaz,15566,Valide générique,kgCO2e/kWh,Electricité,centrale nucléaire,production,Electricité > Moyen de production > Conventionnels,Moyen de production d'électricité.centrale nucléaire,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,10%,,,,,,,,,,,Combustion,,0,0,0,0,0
Poste,élément décomposé par poste et par gaz,15566,Valide générique,kgCO2e/kWh,Electricité,centrale nucléaire,production,Electricité > Moyen de production > Conventionnels,Moyen de production d'électricité.centrale nucléaire,France continentale,France continentale,Novembre 2014,Decembre 2018,déc.-21,10%,,,,,,,,,,,Amont,,"0,006","0,006",0,0,0
Elément,élément décomposé par poste et par gaz,15569,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,Guadeloupe hors COM,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,906","0,893","0,00156",0,"0,00556"
Poste,élément décomposé par poste et par gaz,15569,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,Guadeloupe hors COM,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion à la centrale,,"0,793","0,786","0,00156",0,"0,00556"
Poste,élément décomposé par poste et par gaz,15569,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,Guadeloupe hors COM,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Emissions fugitives,Perte SF6 des transformateurs,"0,00616",0,0,0,0
Poste,élément décomposé par poste et par gaz,15569,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,Guadeloupe hors COM,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,Amont des combustibles et amortissement centrale,"0,107","0,107",0,0,0
Elément,élément décomposé par poste et par gaz,15572,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Pierre et Miquelon,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,943","0,933","0,00128",0,"0,00425"
Poste,élément décomposé par poste et par gaz,15572,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Pierre et Miquelon,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion à la centrale,,"0,81","0,805","0,00128",0,"0,00425"
Poste,élément décomposé par poste et par gaz,15572,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Pierre et Miquelon,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Emissions fugitives,Perte SF6 des transformateurs,"0,00479",0,0,0,0
Poste,élément décomposé par poste et par gaz,15572,Valide générique,kgCO2e/kWh,Électricité,mix moyen,consommation,Electricité > Mix réseau électrique > Outre mer,Electricité France outre mer,Outre-mer,St Pierre et Miquelon,Novembre 2014,Septembre 2018,déc-17,15%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,Amont des combustibles et amortissement centrale,"0,128","0,128",0,0,0
