Type,Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
,Poste,21538,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,essence,0.032,0.0283,2.69E-3,0,9.91E-4,,,,,,,,,,,0,-7.07E-3
,Poste,21538,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,moto,0.0367,0.0367,0,0,0,,,,,,,,,,,0,0
,Elément,21539,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.409,0.399,6.02E-3,0,4.18E-3,,,,,,,,,,,0,0
,Poste,21539,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,essence,0.271,0.268,6.48E-4,0,2.20E-3,,,,,,,,,,,0,0.0141
,Poste,21539,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,essence,0.064,0.0567,5.37E-3,0,1.98E-3,,,,,,,,,,,0,-0.0141
,Poste,21539,élément décomposé par poste et par gaz,Valide générique,Moto,"cylindrée inf. à 750 cm³, essence, zone urbaine",,Transport de personnes > Routier > Deux roues motorisées,"transport de personne routier, moto",kgCO2e/course.km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,France continentale,France continentale,Novembre 2014,Mars 2015,déc-18,60%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Fabrication,moto,0.0735,0.0735,0,0,0,,,,,,,,,,,0,0
,Elément,21545,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,véhicule vide,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.503,0.503,0,0,0,,,,,,,,,,,0,0
,Poste,21545,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,véhicule vide,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,gazole / essence,0.445,0.445,0,0,0,,,,,,,,,,,0,0
,Poste,21545,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,véhicule vide,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,gazole / essence,0.0572,0.0572,0,0,0,,,,,,,,,,,0,0
,Elément,21546,élément décomposé par poste et par gaz,Valide générique,Taxi brousse,véhicule plein,,Transport de personnes > Routier > Taxi > DOM COM,"transport de personne routier, taxi brousse",kgCO2e/km,ADEME,OEET,http://www2.ademe.fr/servlet/KBaseShow?sort=-1&cid=96&m=3&catid=25282,,Outre-mer,Mayotte,Novembre 2014,Novembre 2014,Décembre 2017,20%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,0.553,0.553,0,0,0,,,,,,,,,,,0,0
