Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Poste,élément décomposé par poste et par gaz,12956,Valide générique,kgCO2e/kg,Lignite,PCS inférieur à 17435 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, lignite",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,"1,72","1,7","0,00765",0,"0,0135"
Poste,élément décomposé par poste et par gaz,12956,Valide générique,kgCO2e/kg,Lignite,PCS inférieur à 17435 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, lignite",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,"0,151","0,0561","0,0945",0,0
Elément,élément décomposé par poste et par gaz,14044,Valide générique,kgCO2e/kg,MDO (Marine Diesel Oil),ISO 8217 classes DMX à DMC,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage maritime et fluvial,"combustible liquide, MDO (marine diesel oil), Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,,,"3,85","3,77","0,0637",0,"0,0167"
Poste,élément décomposé par poste et par gaz,14044,Valide générique,kgCO2e/kg,MDO (Marine Diesel Oil),ISO 8217 classes DMX à DMC,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage maritime et fluvial,"combustible liquide, MDO (marine diesel oil), Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,Combustion,,"3,17","3,15","0,00252",0,"0,0167"
Poste,élément décomposé par poste et par gaz,14044,Valide générique,kgCO2e/kg,MDO (Marine Diesel Oil),ISO 8217 classes DMX à DMC,,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage maritime et fluvial,"combustible liquide, MDO (marine diesel oil), Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'article L1431.3 du code des transports",,,,,,,,,,Amont,,"0,676","0,615","0,0612",0,0
Elément,élément non décomposé,9361,Valide générique,GJ / tonne,Naphta,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"44,5",,,,
Elément,élément non décomposé,9382,Valide générique,GJ / tonne,Naphta,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,45,,,,
Elément,élément décomposé par poste et par gaz,14238,Valide générique,kgCO2e/kg,Paille,10% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, paille",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,169","0,169",0,0,0
Poste,élément décomposé par poste et par gaz,14238,Valide générique,kgCO2e/kg,Paille,10% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, paille",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,0,0,0,0,0
Poste,élément décomposé par poste et par gaz,14238,Valide générique,kgCO2e/kg,Paille,10% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, paille",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,169","0,169",0,0,0
Elément,élément décomposé par poste et par gaz,14222,Valide générique,kgCO2e/kg,Plaquettes forestières,25% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, plaquettes forestières",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,0889","0,0313","0,0094","0,0482",0
