Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément décomposé par poste et par gaz,25783,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (sans capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"1,97","0,985","0,0248","0,65","0,263"
Poste,élément décomposé par poste et par gaz,25783,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (sans capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"1,97","0,985","0,0248","0,65","0,263"
Poste,élément décomposé par poste et par gaz,25783,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (sans capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25785,Valide générique,kgCO2e/kg,Biopropane,à base d'huiles de cuisson sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de cuisson",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"0,621","0,589","0,0212",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25785,Valide générique,kgCO2e/kg,Biopropane,à base d'huiles de cuisson sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de cuisson",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"0,621","0,589","0,0212",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25785,Valide générique,kgCO2e/kg,Biopropane,à base d'huiles de cuisson sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de cuisson",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25787,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (avec capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25787,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (avec capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Amont,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25787,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (avec capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25788,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (sans capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25788,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (sans capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Amont,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25788,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (sans capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25786,Valide générique,kgCO2e/kg,Biopropane,à base de graisses animales sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, graisse animale",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"0,625","0,592","0,0213",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25786,Valide générique,kgCO2e/kg,Biopropane,à base de graisses animales sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, graisse animale",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"0,625","0,592","0,0213",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25786,Valide générique,kgCO2e/kg,Biopropane,à base de graisses animales sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, graisse animale",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,14261,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario maximum,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"4,8","4,55","0,0309",0,"0,213"
Poste,élément décomposé par poste et par gaz,14261,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario maximum,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"4,8","4,55","0,0309",0,"0,213"
Elément,élément décomposé par poste et par gaz,14266,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario optimiste,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"0,713","0,469","0,0309",0,"0,213"
Poste,élément décomposé par poste et par gaz,14266,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario optimiste,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"0,713","0,469","0,0309",0,"0,213"
Elément,élément décomposé par poste et par gaz,14271,Valide générique,kgCO2e/litre,Bioéthanol,sans changement d'affectation des sols,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"0,848","0,604","0,0309",0,"0,213"
Poste,élément décomposé par poste et par gaz,14271,Valide générique,kgCO2e/litre,Bioéthanol,sans changement d'affectation des sols,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"0,848","0,604","0,0309",0,"0,213"
Elément,élément non décomposé,9378,Valide générique,GJ / tonne,Bitumes,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"40,2",,,,
Elément,élément non décomposé,9391,Valide générique,GJ / tonne,Bitumes,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,"40,2",,,,
Elément,élément décomposé par poste et par gaz,14219,Valide générique,kgCO2e/kg,Bois bûche,20% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, bois buche",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,114","0,0317","0,0095","0,0726",0
Poste,élément décomposé par poste et par gaz,14219,Valide générique,kgCO2e/kg,Bois bûche,20% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, bois buche",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"0,0726",0,0,"0,0726",0
Poste,élément décomposé par poste et par gaz,14219,Valide générique,kgCO2e/kg,Bois bûche,20% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, bois buche",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,0412","0,0317","0,0095",0,0
Elément,élément non décomposé,25830,Valide spécifique,kgCO2e/kWh,Bois bûches,Combustion en chaudière,Label E+/C-,Combustibles > Organiques > Solides,"Combustion en chaudière, Label E+/C-, Bois bûches",France continentale,France continentale,juin 2017,,décembre 2020,,Expérimentation du label E+/C-,,,,,,,,,,,,"0,032",,,,
Elément,élément non décomposé,25834,Valide spécifique,kgCO2e/kWh,Bois bûches,Combustion en poêle à bois,Label E+/C-,Combustibles > Organiques > Solides,"Label E+/C-, Bois bûches, Combustion en poêle à bois",France continentale,France continentale,juin 2017,,décembre 2020,,Expérimentation du label E+/C-,,,,,,,,,,,,"0,046",,,,
Elément,élément non décomposé,25829,Valide spécifique,kgCO2e/kWh,Bois granulé,Combustion en chaudière,Label E+/C-,Combustibles > Organiques > Solides,"Combustion en chaudière, Label E+/C-, Bois granulé",France continentale,France continentale,juin 2017,,décembre 2020,,Expérimentation du label E+/C-,,,,,,,,,,,,"0,027",,,,
Elément,élément non décomposé,25833,Valide spécifique,kgCO2e/kWh,Bois granulés,Combustion en poêle à bois,Label E+/C-,Combustibles > Organiques > Solides,"Label E+/C-, Combustion en poêle à bois, Bois granulés",France continentale,France continentale,juin 2017,,décembre 2020,,Expérimentation du label E+/C-,,,,,,,,,,,,"0,032",,,,
Elément,élément non décomposé,25831,Valide spécifique,kgCO2e/kWh,Bois plaquette,Combustion en chaudière,Label E+/C-,Combustibles > Organiques > Solides,"Combustion en chaudière, Label E+/C-, Bois plaquette",France continentale,France continentale,juin 2017,,décembre 2020,,Expérimentation du label E+/C-,,,,,,,,,,,,"0,013",,,,
Elément,élément non décomposé,25832,Valide spécifique,kgCO2e/kWh,Bois plaquette,Combustion en poêle à bois,Label E+/C-,Combustibles > Organiques > Solides,"Label E+/C-, Bois plaquette, Combustion en poêle à bois",France continentale,France continentale,juin 2017,,décembre 2020,,Expérimentation du label E+/C-,,,,,,,,,,,,"0,023",,,,
Elément,élément décomposé par poste et par gaz,14231,Valide générique,kgCO2e/kg,Broyats de cagettes et de pallettes,20% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, broyats de cagettes, broyats de palette",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"0,028","0,021","0,00581","0,00116",0
Poste,élément décomposé par poste et par gaz,14231,Valide générique,kgCO2e/kg,Broyats de cagettes et de pallettes,20% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, broyats de cagettes, broyats de palette",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"0,00116",0,0,"0,00116",0
Poste,élément décomposé par poste et par gaz,14231,Valide générique,kgCO2e/kg,Broyats de cagettes et de pallettes,20% d'humidité,,Combustibles > Organiques > Solides,"biocombustible, bois, broyats de cagettes, broyats de palette",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,50%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,0268","0,021","0,00581",0,0
Elément,élément décomposé par poste et par gaz,13545,Valide générique,kgCO2e/kg,Butane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"combustible liquide, butane",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"3,52","3,34","0,147",0,"0,0313"
Poste,élément décomposé par poste et par gaz,13545,Valide générique,kgCO2e/kg,Butane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"combustible liquide, butane",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"3,02","2,98","0,00432",0,"0,0313"
Poste,élément décomposé par poste et par gaz,13545,Valide générique,kgCO2e/kg,Butane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"combustible liquide, butane",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,505","0,363","0,142",0,0
Elément,élément décomposé par poste et par gaz,13546,Valide générique,kgCO2e/kg,Butane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"combustible liquide, butane, Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS), Données de l'article L1431.3 du code des transports",,,,,,,,,,,,"3,44","3,27","0,141",0,"0,0302"
Poste,élément décomposé par poste et par gaz,13546,Valide générique,kgCO2e/kg,Butane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"combustible liquide, butane, Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS), Données de l'article L1431.3 du code des transports",,,,,,,,,,Combustion,,"2,95","2,92","0,00417",0,"0,0302"
Poste,élément décomposé par poste et par gaz,13546,Valide générique,kgCO2e/kg,Butane,inclus maritime,,Combustibles > Fossiles > Gazeux > Propane et butane,"combustible liquide, butane, Info GES",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2024,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS), Données de l'article L1431.3 du code des transports",,,,,,,,,,Amont,,"0,487","0,35","0,137",0,0
Elément,élément décomposé par poste et par gaz,14050,Valide générique,kgCO2e/kg,Carbureacteur,large coupe (jet B),,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien,"combustible liquide, carbureacteur",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"3,78","3,71","0,0685",0,"0,00705"
Poste,élément décomposé par poste et par gaz,14050,Valide générique,kgCO2e/kg,Carbureacteur,large coupe (jet B),,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien,"combustible liquide, carbureacteur",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"3,11","3,1","0,00399",0,"0,00705"
Poste,élément décomposé par poste et par gaz,14050,Valide générique,kgCO2e/kg,Carbureacteur,large coupe (jet B),,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien,"combustible liquide, carbureacteur",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,669","0,604","0,0645",0,0
Elément,élément décomposé par poste et par gaz,14051,Valide générique,kgCO2e/kg,Carbureacteur,large coupe (jet B),,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien,"combustible liquide, carbureacteur",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"3,83","3,75","0,0682",0,"0,007"
Poste,élément décomposé par poste et par gaz,14051,Valide générique,kgCO2e/kg,Carbureacteur,large coupe (jet B),,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien,"combustible liquide, carbureacteur",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"3,16","3,15","0,00396",0,"0,007"
Poste,élément décomposé par poste et par gaz,14051,Valide générique,kgCO2e/kg,Carbureacteur,large coupe (jet B),,Combustibles > Fossiles > Liquides > Usage sources mobiles > Usage aérien,"combustible liquide, carbureacteur",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,664","0,6","0,0642",0,0
Elément,élément décomposé par poste et par gaz,12930,Valide générique,kgCO2e/kg,Charbon sous-bitumineux,PCS entre 17 435 et 23 865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon sous-bitumineux",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,"2,11","1,99","0,112",0,"0,0159"
Poste,élément décomposé par poste et par gaz,12930,Valide générique,kgCO2e/kg,Charbon sous-bitumineux,PCS entre 17 435 et 23 865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon sous-bitumineux",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,"1,94","1,92","0,0006",0,"0,0159"
Poste,élément décomposé par poste et par gaz,12930,Valide générique,kgCO2e/kg,Charbon sous-bitumineux,PCS entre 17 435 et 23 865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon sous-bitumineux",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,"0,177","0,066","0,111",0,0
Elément,élément décomposé par poste et par gaz,12919,Valide générique,kgCO2e/kg,Charbon à coke,PCS supérieur à 23865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon à coke",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,"2,72","2,56","0,145",0,"0,0207"
Poste,élément décomposé par poste et par gaz,12919,Valide générique,kgCO2e/kg,Charbon à coke,PCS supérieur à 23865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon à coke",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,"2,49","2,47","0,00078",0,"0,0207"
Poste,élément décomposé par poste et par gaz,12919,Valide générique,kgCO2e/kg,Charbon à coke,PCS supérieur à 23865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon à coke",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,"0,23","0,0858","0,144",0,0
Elément,élément décomposé par poste et par gaz,12926,Valide générique,kgCO2e/kg,Charbon à vapeur,PCS supérieur à 23865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon à vapeur",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,"2,72","2,56","0,145",0,"0,0207"
Poste,élément décomposé par poste et par gaz,12926,Valide générique,kgCO2e/kg,Charbon à vapeur,PCS supérieur à 23865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon à vapeur",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,"2,49","2,47","0,00078",0,"0,0207"
Poste,élément décomposé par poste et par gaz,12926,Valide générique,kgCO2e/kg,Charbon à vapeur,PCS supérieur à 23865 kJ/kg,,Combustibles > Fossiles > Solides > Charbons,"combustible solide, charbon, charbon à vapeur",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,"0,23","0,086","0,144",0,0
Elément,élément non décomposé,9407,Valide générique,kg / m³,Essence - SP 95,SP 98,masse volumique,Combustibles > Caractéristiques physiques > Masses volumiques,,Monde,Monde,octobre 2014,octobre 2014,décembre 2017,,,,,,,,,,,,,,755,,,,
Elément,élément non décomposé,9359,Valide générique,GJ / tonne,Essence - SP 95,SP 98,PCI,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,43,,,,
Elément,élément non décomposé,9380,Valide générique,GJ / tonne,Essence - SP 95,SP 98,PCI,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,44,,,,
Elément,élément décomposé par poste et par gaz,14097,Valide générique,kgCO2e/kg,Fioul Lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"3,61","3,55","0,0465",0,"0,0186"
Poste,élément décomposé par poste et par gaz,14097,Valide générique,kgCO2e/kg,Fioul Lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"3,11","3,09","0,0024",0,"0,0186"
Poste,élément décomposé par poste et par gaz,14097,Valide générique,kgCO2e/kg,Fioul Lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,503","0,459","0,0441",0,0
Elément,élément décomposé par poste et par gaz,14098,Valide générique,kgCO2e/kg,Fioul Lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,"3,64","3,58","0,0465",0,"0,0186"
Poste,élément décomposé par poste et par gaz,14098,Valide générique,kgCO2e/kg,Fioul Lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Combustion,,"3,14","3,12","0,0024",0,"0,0186"
Poste,élément décomposé par poste et par gaz,14098,Valide générique,kgCO2e/kg,Fioul Lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,"Données de l'article L229-25 de la loi TECV, Données de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,Amont,,"0,503","0,459","0,0441",0,0
Elément,élément non décomposé,9405,Valide générique,kg / m³,Fioul lourd,masse volumique,,Combustibles > Caractéristiques physiques > Masses volumiques,,Monde,Monde,octobre 2014,octobre 2014,décembre 2017,,,,,,,,,,,,,,900,,,,
Elément,élément non décomposé,9377,Valide générique,GJ / tonne,Fioul lourd,PCI,,Combustibles > Caractéristiques physiques > PCI - Pouvoir Calorifique Inférieur,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,5%,,,,,,,,,,,,,40,,,,
Elément,élément décomposé par poste et par gaz,14092,Valide générique,kgCO2e/litre,Fioul lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,,,"3,25","3,2","0,0411",0,"0,0167"
Poste,élément décomposé par poste et par gaz,14092,Valide générique,kgCO2e/litre,Fioul lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Combustion,,"2,8","2,78","0,00135",0,"0,0167"
Poste,élément décomposé par poste et par gaz,14092,Valide générique,kgCO2e/litre,Fioul lourd,commercial,,Combustibles > Fossiles > Liquides > Usage source fixe,"combustible liquide, fioul lourd",Europe,Europe,octobre 2014,octobre 2014,décembre 2017,5%,Données de l'article L229-25 de la loi TECV,,,,,,,,,,Amont,,"0,453","0,413","0,0398",0,0
