Type Ligne,Identifiant de l'élément,Structure,Statut de l'élément,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Unité français,Contributeur,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,20560,élément non décomposé,Valide générique,Scories thomas,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Engrais et composés azotés","engrais, fertilisant, scories thomas",kgCO2e/tonne de P2O5,ADEME,,,,Europe,Europe,Novembre 2014,Novembre 2014,déc-18,30%,,,,,,,,,,,,,1173,,,,,,,,,,,,,,,,
Elément,20561,élément non décomposé,Valide générique,Banol,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires","phytosanitaire, banol",kgCO2e/kg de matière active,ADEME,,,,Outre-mer,DOM COM,Novembre 2014,Novembre 2014,Décembre 2017,50%,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,
Poste,20562,élément décomposé par gaz,Valide générique,Herbicide,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires","phytosanitaire, herbicide",kgCO2e/kg de matière active,ADEME,,,,Europe,Europe,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,Total Non Décomposé,,9.15,8.33,0.764,0,0.0583,,,,,,,,,,,0,0
Poste,20563,élément décomposé par gaz,Valide générique,Fongicide moyen,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires","phytosanitaire, fongicide",kgCO2e/kg de matière active,ADEME,,,,Europe,Europe,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,Total Non Décomposé,,6.13,5.54,0.557,0,0.0398,,,,,,,,,,,0,0
Poste,20564,élément décomposé par gaz,Valide générique,Insecticide moyen,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires","phytosanitaire, insecticide",kgCO2e/kg de matière active,ADEME,,,,Europe,Europe,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,Total Non Décomposé,,25.5,23.7,1.63,0,0.167,,,,,,,,,,,0,0
Poste,20565,élément décomposé par gaz,Valide générique,Molluscides (methiocarbe),,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires","phytosanitaire, molluscides",kgCO2e/kg de matière active,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,Total Non Décomposé,,8.94,8.03,0.855,0,0.0588,,,,,,,,,,,0,0
Poste,20566,élément décomposé par gaz,Valide générique,Régulateur de croissance,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires","phytosanitaire, régulateur de croissance",kgCO2e/kg de matière active,ADEME,,,,France continentale,France continentale,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,Total Non Décomposé,,8.64,7.86,0.723,0,0.0557,,,,,,,,,,,0,0
Elément,20567,élément non décomposé,Valide générique,Phytosanitaire moyen,,,"Achats de biens > Plastiques et produits chimiques > Produits chimiques > Engrais, phytosanitaires... > Phytosanitaires",phytosanitaire,kgCO2e/kg de matière active,ADEME,,,,Europe,Europe,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,
Elément,20591,élément non décomposé,Valide générique,Photocopieurs,,,Achats de biens > Machines et équipements > Informatique et équipements électroniques,"machine de bureau, photocopieur",kgCO2e/appareil,ADEME,,,,Monde,Monde,Novembre 2014,Decembre 2014,déc-18,50%,,,,,,,,,,,,,2935,,,,,,,,,,,,,,,,
Elément,20593,élément non décomposé,Valide générique,Montant des achats,,,Achats de biens > Machines et équipements > Informatique et équipements électroniques,informatique,kgCO2e/keuro,ADEME,,,,Monde,Monde,Novembre 2014,Novembre 2014,déc-18,50%,,,,,,,,,,,,,917,,,,,,,,,,,,,,,,
